Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
1,Aceituna,Aceituna manzanilla,Tonelada,Cielo abierto,Convencional,Nacional,"3,517.65","3,515.65",0,"24,445.73",6.95,"13,897.78","339,741.47"
2,Aceituna,Aceituna missión,Tonelada,Cielo abierto,Convencional,Nacional,"2,265.25","2,265.25",0,"4,899.43",2.16,"9,868.75","48,351.24"
3,Aceituna,Aceituna s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,7,7,0,56.98,8.14,"15,947.37",908.68
4,Aceituna,Aceituna negra,Tonelada,Cielo abierto,Convencional,Nacional,59,54,0,190.43,3.53,"10,185.34","1,939.59"
5,Acelga,Acelga s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,678.33,675.33,3,"9,532.94",14.12,"4,844.33","46,180.74"
6,Achiote,Achiote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,042.50",936.5,0,978.5,1.04,"28,052.60","27,449.46"
7,Agapando,Agapando s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,135.01,135.01,0,"81,794.64",605.84,234.04,"19,143.22"
8,Agave,Agave tequilero,Tonelada,Cielo abierto,Convencional,Nacional,"216,806.92","26,726.16",0,"2,042,893.77",76.44,"19,938.95","40,733,158.80"
9,Agave,Agave mezcalero,Tonelada,Cielo abierto,Convencional,Nacional,"25,448.15","5,980.95",0,"388,717.91",64.99,"6,190.41","2,406,324.83"
10,Agave,Agave bacanora,Tonelada,Cielo abierto,Convencional,Nacional,372,70,0,"2,596.02",37.09,"13,101.70","34,012.28"
